sID	first_absent_strength	first_present_strength	fourth_absent_strength	fourth_present_strength	second_absent_strength	second_present_strength	third_absent_strength	third_present_strength	Desktop_Confirmation	Attention_Confirmation	Age	Sex	Technical_issues	Duration (sek)	sID_cond
2445	0	75	75	75	0	75	0	75	1	1	51	1	none	262	1
2446	0	75	0	75	0	75	0	75	1	1	31	2	-99	218	1
2447	0	50	50	50	0	50	0	50	1	1	20	2	-99	151	1
2448	0	80	0	80	0	80	0	80	1	1	18	2	-99	271	1
2449	32	69	61	38	44	NA	28	84	1	1	32	2	-99	73	1
2451	0	75	0	75	0	75	0	75	1	1	21	2	-99	605	1
2452	50	100	50	99	50	100	50	100	1	1	46	2	-99	118	1
2453	0	75	0	75	0	75	0	75	1	1	27	1	-99	173	1
2454	0	100	0	100	0	NA	0	100	1	1	39	2	all clear	680	1
2455	0	80	0	80	0	80	0	80	1	1	38	2	-99	262	1
2456	0	75	0	75	NA	75	0	75	1	1	35	2	-99	192	1
