sID	Capacity_Info	Crystal_Order	Q_Order	1_strength_rating	3_strength_rating	7_strength_rating	Desktop_Confirmation	Attention_Confirmation	Capacity_Check	Age	Sex	Technical_issues	Duration (sek)	Capacity_Check_rec
879	same	yrb	3_7_1	84	60	25	1	1	2	40	1	-99	109	correct
1031	same	yrb	3_7_1	91	61	36	1	1	2	20	2	-99	103	correct
1231	same	yrb	3_7_1	97	64	51	1	1	2	34	2	-99	173	correct
1234	same	yrb	3_7_1	100	29	75	1	1	2	18	2	NA	152	correct
1021	different	bry	7_1_3	100	71	48	1	1	1	27	2	-99	97	correct
1237	different	bry	7_1_3	100	59	27	1	1	1	26	1	-99	217	correct
1306	different	bry	7_1_3	74	74	74	1	1	1	34	2	-99	165	correct
1358	different	bry	7_1_3	98	79	65	1	1	1	35	1	-99	134	correct
881	none	bry	7_1_3	100	95	100	1	1	-77	26	2	-99	115	NA
952	none	bry	7_1_3	67	68	67	1	1	-77	20	1	-99	107	NA
1057	none	bry	7_1_3	100	50	15	1	1	-77	24	1	-99	81	NA
1141	none	bry	7_1_3	99	39	27	1	1	-77	48	2	-99	487	NA
898	same	bry	7_1_3	72	62	51	1	1	2	40	2	-99	221	correct
960	same	bry	7_1_3	82	82	81	1	1	2	21	2	-99	240	correct
1075	same	bry	7_1_3	99	39	66	1	1	2	38	2	None to report	140	correct
1178	same	bry	7_1_3	99	76	43	1	1	2	49	2	-99	207	correct
893	different	byr	7_1_3	94	70	35	1	1	1	25	1	-99	188	correct
1235	different	byr	7_1_3	85	51	16	1	1	1	19	2	-99	138	correct
1335	different	byr	7_1_3	99	70	45	1	1	1	30	2	-99	198	correct
1336	different	byr	7_1_3	99	48	18	1	1	1	28	2	no errors	456	correct
900	none	byr	7_1_3	62	99	46	1	1	-77	21	2	-99	562	NA
991	none	byr	7_1_3	100	52	21	1	1	-77	24	1	-99	229	NA
1046	none	byr	7_1_3	100	50	4	1	1	-77	29	2	None	254	NA
1346	none	byr	7_1_3	83	66	38	1	1	-77	37	1	-99	439	NA
915	same	byr	7_1_3	57	46	75	1	1	2	18	2	-99	124	correct
935	same	byr	7_1_3	100	57	23	1	1	2	35	2	-99	108	correct
1108	same	byr	7_1_3	76	100	14	1	1	2	30	2	-99	94	correct
1149	same	byr	7_1_3	99	41	14	1	1	2	52	1	-99	137	correct
835	different	rby	7_1_3	98	75	29	1	1	1	37	2	-99	138	correct
1095	different	rby	7_1_3	100	75	57	1	1	1	51	2	-99	437	correct
1166	different	rby	7_1_3	79	97	71	1	1	1	34	2	-99	140	correct
1291	different	rby	7_1_3	61	49	89	1	1	1	52	2	-99	250	correct
899	none	rby	7_1_3	93	77	67	1	1	-77	35	1	-99	104	NA
1008	none	rby	7_1_3	99	76	53	1	1	-77	38	2	-99	104	NA
1133	none	rby	7_1_3	46	46	46	1	1	-77	36	1	-99	131	NA
1169	none	rby	7_1_3	100	39	11	1	1	-77	39	1	The slider was very difficult to move for all three of the questions. Also the survey was super basic, i don't know what you hope to achieve from this.	122	NA
886	same	rby	7_1_3	99	64	25	1	1	2	30	2	-99	123	correct
916	same	rby	7_1_3	45	57	35	1	1	2	41	2	I tried to answer based on my intuition, but my logic cries loud and clear that I should answer they all produce the same because I haven't been told any differently!  It's difficult to correctly listen to intuition when that's not how we actually make decisions.	219	correct
1024	same	rby	7_1_3	30	31	30	1	1	2	22	2	The font could be slightly larger thus easier to read - felt like i was straining!	203	correct
1232	same	rby	7_1_3	100	71	44	1	1	2	30	2	-99	121	correct
910	different	ryb	7_1_3	91	48	77	1	1	1	20	1	-99	307	correct
999	different	ryb	7_1_3	55	47	41	1	1	1	37	2	-99	246	correct
1053	different	ryb	7_1_3	100	33	10	1	1	1	27	2	-99	130	correct
1220	different	ryb	7_1_3	91	74	47	1	1	1	31	2	-99	115	correct
867	none	ryb	7_1_3	100	53	15	1	1	-77	28	1	-99	372	NA
918	none	ryb	7_1_3	100	53	9	1	1	-77	29	2	-99	195	NA
1054	none	ryb	7_1_3	100	99	99	1	1	-77	20	2	-99	359	NA
1184	none	ryb	7_1_3	100	68	56	1	1	-77	24	2	no errors	228	NA
997	same	ryb	7_1_3	97	40	62	1	1	2	24	1	-99	312	correct
1006	same	ryb	7_1_3	99	100	100	1	1	2	32	1	-99	156	correct
1209	same	ryb	7_1_3	52	51	53	1	1	2	26	2	-99	100	correct
1259	same	ryb	7_1_3	100	55	31	1	1	2	29	1	-99	121	correct
870	different	ybr	7_1_3	89	85	82	1	1	1	22	2	-99	92	correct
922	different	ybr	7_1_3	100	69	37	1	1	1	36	1	-99	94	correct
